term	reading	frequency	kana_frequency
監視員	かんしいん	40258	245569
人気投票	にんきとうひょう	40259	
スウェット	スウェット	40260	
水鳥	すいちょう	40261	154043
既製品	きせいひん	40262	
キール	キール	40263	
新政府	しんせいふ	40264	
大夫	だいぶ	40265	
ラッセル	ラッセル	40266	
染色	せんしょく	40267	232967
ショートヘア	ショートヘア	40268	
今彼	いまかれ	40269	149732
恩を仇で返す	おんをあだでかえす	40270	
一生の不覚	いっしょうのふかく	40271	
ファイター	ファイター	40272	
とまれ	とまれ	40273	
基点	きてん	40274	
通い詰める	かよいつめる	40275	204450
わっし	わっし	40276	
どんぶり	どんぶり	40277	
顰める	しかめる	40278	25620
生花	いけばな	40279	112397
大あくび	おおあくび	40280	122567
パタリ	パタリ	40281	
何ごとか	なにごとか	40282	32380
ひやかす	ひやかす	40283	
めがね	めがね	40284	
のっける	のっける	40285	
むしばむ	むしばむ	40286	
うるわしい	うるわしい	40287	
げんき	げんき	40288	
たに	たに	40289	
さばける	さばける	40290	
あばら	あばら	40291	
イチモツ	イチモツ	40292	
見とがめる	みとがめる	40293	161813
チュウ	チュウ	40294	
かしましい	かしましい	40295	
あたら	あたら	40296	
くだく	くだく	40297	
まとめあげる	まとめあげる	40298	
ぜんたい	ぜんたい	40299	
オッス	オッス	40300	
街中	まちじゅう	40301	198164
絞殺	こうさつ	40302	
違くて	ちがくて	40303	73696
計画を進める	けいかくをすすめる	40304	
諦めがつく	あきらめがつく	40305	89544
大の苦手	だいのにがて	40306	306329
白羽	しらは	40307	178698
凹み	くぼみ	40308	21786
ジュン	ジュン	40309	
元服	げんぷく	40310	202989
立て看板	たてかんばん	40311	
往生際	おうじょうぎわ	40312	150796
浪漫	ろうまん	40313	184032
ダニ	ダニ	40314	
前屈み	まえかがみ	40315	274859
弱り切る	よわりきる	40316	313827
殻を破る	からをやぶる	40317	
門人	もんじん	40318	
分化	ぶんか	40319	87454
自席	じせき	40320	
計算式	けいさんしき	40321	
宮司	ぐうじ	40322	
綾子	りんず	40323	
縫製	ほうせい	40324	
沈着	ちんちゃく	40325	221999
加速度	かそくど	40326	299898
編み上げる	あみあげる	40327	167449
奇天烈	きてれつ	40328	106109
布製	ぬのせい	40329	
無用の長物	むようのちょうぶつ	40330	
白紙に戻す	はくしにもどす	40331	
覇道	はどう	40332	
簾	すだれ	40333	45500
左折	させつ	40334	
動かぬ証拠	うごかぬしょうこ	40335	
透く	すく	40336	
函館	はこだて	40337	135423
消耗戦	しょうもうせん	40338	
法規	ほうき	40339	
もしゃもしゃ	もしゃもしゃ	40340	
後顧の憂い	こうこのうれい	40341	
ミーシャ	ミーシャ	40342	
ストーン	ストーン	40343	
サツマイモ	サツマイモ	40344	
運動エネルギー	うんどうエネルギー	40345	
器物	きぶつ	40346	196161
書類を見る	しょるいをみる	40347	
挙げ句の果て	あげくのはて	40348	81971
読み違える	よみちがえる	40349	285374
情が移る	じょうがうつる	40350	
ニア	ニア	40351	
アリサ	アリサ	40352	
傷み	いたみ	40353	53391
緑豊か	みどりゆたか	40354	
違くない	ちがくない	40355	100061
ロラン	ロラン	40356	
指揮棒	しきぼう	40357	
五大	ごだい	40358	
亡びる	ほろびる	40359	49795
がさごそ	がさごそ	40360	
名を騙る	なをかたる	40361	
可及的速やかに	かきゅうてきすみやかに	40362	289245
軍配が上がる	ぐんばいがあがる	40363	
何よりもまず	なによりもまず	40364	75171
社会勉強	しゃかいべんきょう	40365	
藪蛇	やぶへび	40366	84366
わっしょい	わっしょい	40367	
ディープキス	ディープキス	40368	
飛び蹴り	とびげり	40369	
もたれ掛かる	もたれかかる	40370	9674
直射日光	ちょくしゃにっこう	40371	
闘志を燃やす	とうしをもやす	40372	
臆す	おくす	40373	122265
闇に紛れて	やみにまぎれて	40374	234895
何だっていい	なんだっていい	40375	33190
立川	たちかわ	40376	
証券	しょうけん	40377	143009
喚声	かんせい	40378	
切羽	せっぱ	40379	90271
おさえつける	おさえつける	40380	
はけ口	はけぐち	40381	204021
ヤンチャ	ヤンチャ	40382	
しらを切る	しらをきる	40383	141872
みね	みね	40384	
とくべつ	とくべつ	40385	
